time,latitude,longitude
2021-11-25 10:58:53.1960,49.28261195539353,-122.79880751704529
2021-11-25 10:58:54.1890,49.28268755521543,-122.79880590143458
2021-11-25 10:58:55.1930,49.28276317806538,-122.79879492433413
2021-11-25 10:58:56.1980,49.282834041813125,-122.79878500888542
2021-11-25 10:58:57.1880,49.28289844841437,-122.79877964556574
2021-11-25 10:58:58.1950,49.282953233419846,-122.79878101288615
2021-11-25 10:58:59.1920,49.28299645521492,-122.7987703667517
2021-11-25 10:59:00.2130,49.28302903380048,-122.79876404403579
2021-11-25 10:59:01.1960,49.28304932047993,-122.79876614350262
2021-11-25 10:59:02.1980,49.283065531905436,-122.79881396129743
2021-11-25 10:59:03.1930,49.28308579024157,-122.79881302291376
2021-11-25 10:59:04.1960,49.28311400627088,-122.79881405529454
